-2974735.8400001321	  inf
-2411950.6098368592	1.89188e-01
-2404760.4208586523	2.98107e-03
-2392617.6711213989	5.04946e-03
-2378186.7935149898	6.03142e-03
-2366260.9227589113	5.01469e-03
-2358204.0302432082	3.40490e-03
-2353396.6540759197	2.03858e-03
-2350701.4343793239	1.14525e-03
-2349093.0381535138	6.84220e-04
-2347930.0369412201	4.95085e-04
-2347113.2226881348	3.47887e-04
-2346569.3138331617	2.31735e-04
-2346147.4619063856	1.79774e-04
-2345818.5940047181	1.40174e-04
-2345560.7886293465	1.09900e-04
-2345345.4732179916	9.17970e-05
