-4073413.1122773867	  inf
-3639526.3267215299	1.06517e-01
-3628855.1274803570	2.93203e-03
-3612863.6016500513	4.40677e-03
-3591209.2014992293	5.99369e-03
-3571781.0088171894	5.40993e-03
-3558553.8767611510	3.70323e-03
-3550781.3617634121	2.18418e-03
-3546508.7114363345	1.20330e-03
-3543936.7057984415	7.25222e-04
-3542222.5030372767	4.83700e-04
-3541035.7870509797	3.35020e-04
-3540182.6600799500	2.40926e-04
-3539532.3103157571	1.83705e-04
-3539044.1269715028	1.37923e-04
-3538628.3144615120	1.17493e-04
-3538246.8285458228	1.07806e-04
-3537912.1006239727	9.46028e-05
